Store Address,ID,Description,Location,Street No.,Street Name,city,state,zip,Location,,,,,,,,,,
"14823 Pomerado Rd, Poway, CA 92064",1,COMMERCIAL ROBBERY - WEAPON USED,14700  POMERADO ROAD,14700, POMERADO ROAD  ,Poway,CA,92064,14700  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
"14824 Pomerado Rd, Poway, CA 92064",1,SHOPLIFTING,14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
"14825 Pomerado Rd, Poway, CA 92064",1,VEHICLE BREAK-IN/THEFT,14600  CARMEL RIDGE ROAD,14600, CARMEL RIDGE ROAD ,Poway,CA,92064,14600  CARMEL RIDGE ROAD,,,CARMEL,RIDGE,ROAD,,,,,
"14826 Pomerado Rd, Poway, CA 92064",1,PETTY THEFT(SHOPLIFT),14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
"14827 Pomerado Rd, Poway, CA 92064",1,PETTY THEFT(SHOPLIFT),14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
"14828 Pomerado Rd, Poway, CA 92064",1,ELDER ABUSE/NEGLECT,14700  POMERADO ROAD,14700, POMERADO ROAD  ,Poway,CA,92064,14700  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
"14829 Pomerado Rd, Poway, CA 92064",1,PETTY THEFT(SHOPLIFT),14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
"14830 Pomerado Rd, Poway, CA 92064",1,COMMERCIAL BURGLARY,14500  POMERADO ROAD,14500, POMERADO ROAD  ,Poway,CA,92064,14500  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
"14831 Pomerado Rd, Poway, CA 92064",1,SHOPLIFTING,14800  POMERADO ROAD,14800, POMERADO ROAD  ,Poway,CA,92064,14800  POMERADO ROAD,,,POMERADO,ROAD,,,,,,
"14832 Pomerado Rd, Poway, CA 92064",1,PETTY THEFT(ALL OTHER LARCENY),12700  KAITZ STREET,12700, KAITZ STREET  ,Poway,CA,92064,12700  KAITZ STREET,,,KAITZ,STREET,,,,,,
"14833 Pomerado Rd, Poway, CA 92064",1,FRAUD,14800  SUMMERBREEZE WAY,14800, SUMMERBREEZE WAY  ,Poway,CA,92064,14800  SUMMERBREEZE WAY,,,SUMMERBREEZE,WAY,,,,,,
