Store ,StreetNum,Crime,,Store Address,,,
Target,14823,COMMERCIAL ROBBERY - WEAPON USED,,"14823 Pomerado Rd, Poway, CA 92064",,,
Target,14823,SHOPLIFTING,,"14823 Pomerado Rd, Poway, CA 92064",,,
Target,14823,VEHICLE BREAK-IN/THEFT,,"14823 Pomerado Rd, Poway, CA 92064",,,
Target,14823,PETTY THEFT(SHOPLIFT),,"14823 Pomerado Rd, Poway, CA 92064",,,
Target,14823,PETTY THEFT(SHOPLIFT),,"14823 Pomerado Rd, Poway, CA 92064",,,
Target,14823,ELDER ABUSE/NEGLECT,,"14823 Pomerado Rd, Poway, CA 92064",,,
Target,14823,PETTY THEFT(SHOPLIFT),,"14823 Pomerado Rd, Poway, CA 92064",,,
Target,14823,COMMERCIAL BURGLARY,,"14823 Pomerado Rd, Poway, CA 92064",,,
Target,14823,SHOPLIFTING,,"14823 Pomerado Rd, Poway, CA 92064",,,
Target,14823,PETTY THEFT(ALL OTHER LARCENY),,"14823 Pomerado Rd, Poway, CA 92064",,,
Target,14823,FRAUD,,"14823 Pomerado Rd, Poway, CA 92064",,,
Target,14823,DISORD CONDUCT:ALC,,"14823 Pomerado Rd, Poway, CA 92064",,,
Target,14823,SHOPLIFTING,,"14823 Pomerado Rd, Poway, CA 92064",,,
Target,14823,POSSESS CONTROLLED SUBSTANCE (M),,"14823 Pomerado Rd, Poway, CA 92064",,,
Target,14823,RESIDENTIAL BURGLARY,,"14823 Pomerado Rd, Poway, CA 92064",,,
Target,14823,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT (F),,"14823 Pomerado Rd, Poway, CA 92064",,,
Target,14823,SHOPLIFTING (M),,"14823 Pomerado Rd, Poway, CA 92064",,,
Target,14823,DUI ALCOHOL (M),,"14823 Pomerado Rd, Poway, CA 92064",,,
Target,14823,DUI ALCOHOL (M),,"14823 Pomerado Rd, Poway, CA 92064",,,
Target,14823,POSS CONTROLLED SUBS PARAPHERNALIA (M),,"14823 Pomerado Rd, Poway, CA 92064",,,
Target,14823,PETTY THEFT(Shoplift) (M),,"14823 Pomerado Rd, Poway, CA 92064",,,
Target,14823,PETTY THEFT(Shoplift) (M),,"14823 Pomerado Rd, Poway, CA 92064",,,
Target,17170,SIMPLE BATTERY (M),,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,VANDALISM ($400 OR MORE) (F),,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,FRAUD,,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,VANDALISM ($400 OR MORE) (F),,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,GRAND THEFT (Shoplifting) (F),,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,RESIDENTIAL BURGLARY,,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,RESIDENTIAL BURGLARY,,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,PETTY THEFT(Shoplift) (M),,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,COMMERCIAL BURGLARY,,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,COMMERCIAL BURGLARY,,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,PETTY THEFT(Shoplift) (M),,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,PETTY THEFT(Shoplift) (M),,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,PETTY THEFT(Shoplift) (M),,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,VANDALISM ($400 OR MORE) (F),,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,PETTY THEFT(All Other Larceny) (M),,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,COMMERCIAL BURGLARY,,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,GRAND THEFT:MONEY/LABOR/PROPERTY (F),,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,SIMPLE BATTERY (M),,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,PETTY THEFT(Shoplift) (M),,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,SHOPLIFTING (M),,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,BATTERY ON PERSON (M),,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,GRAND THEFT:MONEY/LABOR/PROPERTY (F),,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,GRAND THEFT:AUTO,,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,VEHICLE BREAK-IN/THEFT,,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,VEHICLE BREAK-IN/THEFT,,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,SPOUSAL/COHABITANT ABUSE WITH MINOR INJURY (F),,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,GRAND THEFT:MONEY/LABOR/PROPERTY (F),,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,PETTY THEFT(All Other Larceny) (M),,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,FRAUD,,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,COMMERCIAL BURGLARY,,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,17170,PETTY THEFT(All Other Larceny) (M),,"17170 Camino Del Sur, San Diego, CA 92127",,,
Target,280,GRAND THEFT:MONEY/LABOR/PROPERTY (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,DISORD CONDUCT:ALC (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,POSS CONTROLLED SUBS FOR SALE,,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,POSSESS CONTROLLED SUBSTANCE,,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,GRAND THEFT (Shoplifting) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,VANDALISM ($400 OR MORE) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(All Other Larceny) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,GRAND THEFT (Shoplifting) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(All Other Larceny) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT (SHOPLIFT) W/2+ PRIOR CONVICTIONS (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,GRAND THEFT (Shoplifting) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,COMMERCIAL ROBBERY - NO WEAPON,,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT (SHOPLIFT) W/2+ PRIOR CONVICTIONS (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,GRAND THEFT (Shoplifting) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,GRAND THEFT (Shoplifting) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(All Other Larceny) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,GRAND THEFT (Shoplifting) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,VEHICLE BREAK-IN/THEFT,,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,GRAND THEFT (Shoplifting) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(All Other Larceny) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,GRAND THEFT (Shoplifting) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,POSS NARCOTIC CONTROLLED SUBS (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT W/2 PRIOR CONVICTIONS (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(All Other Larceny) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,DISORD CONDUCT:ALC (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,GRAND THEFT (Shoplifting) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,GRAND THEFT (Shoplifting) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(All Other Larceny) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(All Other Larceny) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,COMMERCIAL ROBBERY - NO WEAPON,,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(All Other Larceny) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,FRAUD,,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(All Other Larceny) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,GRAND THEFT (Shoplifting) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(All Other Larceny) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,DUI ALCOHOL (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,GRAND THEFT (Shoplifting) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,GRAND THEFT (Shoplifting) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,VEHICLE BREAK-IN/THEFT,,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,POSS CONTROLLED SUBS PARAPHERNALIA (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,GRAND THEFT (Shoplifting) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(All Other Larceny) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,COMMERCIAL BURGLARY,,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,COMMERCIAL BURGLARY,,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,GRAND THEFT (Shoplifting) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,GRAND THEFT (Shoplifting) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,COMMERCIAL ROBBERY - NO WEAPON,,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,VEHICLE BREAK-IN/THEFT,,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,BURGLARY (COMMERCIAL) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,ARSON:STRUCTURE/FOREST LAND (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,COMMERCIAL ROBBERY - NO WEAPON,,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,GRAND THEFT (Shoplifting) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,GRAND THEFT (Shoplifting) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,VEHICLE BREAK-IN/THEFT,,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,GRAND THEFT (Shoplifting) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,CAUSE HARM/DEATH OF ELDER /DEPENDENT ADULT (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,FRAUD,,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,COMMERCIAL BURGLARY,,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,GRAND THEFT:AUTO (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(All Other Larceny) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,GRAND THEFT (Shoplifting) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,GRAND THEFT (Shoplifting) (F),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(from Building) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,SHOPLIFTING (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,280,PETTY THEFT(Shoplift) (M),,"280 E Via Rancho Pkwy, Escondido, CA 92025",,,
Target,1280,SHOPLIFTING (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,COMMERCIAL BURGLARY,,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,SIMPLE BATTERY (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,USE/UNDER INFL OF CONTROLLED SUBS (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,PETTY THEFT(Shoplift) (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,POSS CONTROLLED SUBS PARAPHERNALIA (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,POSS NARCOTIC CONTROLLED SUBS (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,VANDALISM ($400 OR MORE) (F),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,GRAND THEFT:MONEY/LABOR/PROPERTY (F),,"1280 Auto Park Way, Escondido, CA 92029",,,
Target,1280,POSS NARCOTIC CONTROLLED SUBS (M),,"1280 Auto Park Way, Escondido, CA 92029",,,
