Store ,StreetNum,Crime,,Full Address
Walmart,1330,STREET ROBBERY - NO WEAPON,,"1330 E Grand Ave, Escondido, CA 92027"
Walmart,1330,ASSAULT W/DEADLY WEAPON:NOT F/ARM (F),,"1330 E Grand Ave, Escondido, CA 92027"
Walmart,1330,POSS CONTROLLED SUBS FOR SALE (F),,"1330 E Grand Ave, Escondido, CA 92027"
Walmart,1330,PETTY THEFT(All Other Larceny) (M),,"1330 E Grand Ave, Escondido, CA 92027"
Walmart,1330,PETTY THEFT(Shoplift) (M),,"1330 E Grand Ave, Escondido, CA 92027"
Walmart,1330,OBSTRUCT/RESIST EXECUTIVE OFFICER WITH MINOR INJURY (F),,"1330 E Grand Ave, Escondido, CA 92027"
Walmart,1330,VEHICLE BREAK-IN/THEFT,,"1330 E Grand Ave, Escondido, CA 92027"
Walmart,1330,PETTY THEFT(from Building) (M),,"1330 E Grand Ave, Escondido, CA 92027"
Walmart,1330,FRAUD,,"1330 E Grand Ave, Escondido, CA 92027"
Walmart,1330,DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL (M),,"1330 E Grand Ave, Escondido, CA 92027"
Walmart,1330,FRAUD,,"1330 E Grand Ave, Escondido, CA 92027"
Walmart,1330,FRAUD,,"1330 E Grand Ave, Escondido, CA 92027"
Walmart,1330,COMMERCIAL BURGLARY,,"1330 E Grand Ave, Escondido, CA 92027"
Walmart,1330,COMMERCIAL BURGLARY,,"1330 E Grand Ave, Escondido, CA 92027"
Walmart,1330,DISORD CONDUCT:ALC (M),,"1330 E Grand Ave, Escondido, CA 92027"
Walmart,1330,THREATEN CRIME WITH INTENT TO TERRORIZE (F),,"1330 E Grand Ave, Escondido, CA 92027"
Walmart,1330,COMMERCIAL BURGLARY,,"1330 E Grand Ave, Escondido, CA 92027"
Walmart,1330,TREATMENT-MANDATED FELONY HARD DRUGS W/2 OR MORE PRIOR CONVICTIONS (F),,"1330 E Grand Ave, Escondido, CA 92027"
Walmart,1330,VEHICLE BREAK-IN/THEFT,,"1330 E Grand Ave, Escondido, CA 92027"
Walmart,1330,THREATEN EXECUTIVE OFFICER WITH VIOLENCE (F),,"1330 E Grand Ave, Escondido, CA 92027"
Walmart,1330,PETTY THEFT(Shoplift) (M),,"1330 E Grand Ave, Escondido, CA 92027"
Walmart,1330,PETTY THEFT(All Other Larceny) (M),,"1330 E Grand Ave, Escondido, CA 92027"
Walmart,1330,VANDALISM ($400 OR MORE) (F),,"1330 E Grand Ave, Escondido, CA 92027"
