Address,city,state,zip,REF full address
13425 Community Rd,Poway,CA,92064,"13425 Community Rd, Poway, CA 92064"
1550 Leucadia Blvd,Encinitas,CA,92024,"1550 Leucadia Blvd, Encinitas, CA 92024"
705 College Blvd,Oceanside,CA,92057,"705 College Blvd, Oceanside, CA 92057"
1046 Mission Ave,Oceanside,CA,92054,"1046 Mission Ave, Oceanside, CA 92054"
2100 Vista Way,Oceanside,CA,92054,"2100 Vista Way, Oceanside, CA 92054"
3405 Marron Rd,Oceanside,CA,92056,"3405 Marron Rd, Oceanside, CA 92056"
1800 University Dr,Vista,CA,92083,"1800 University Dr, Vista, CA 92083"
732 Center Dr,San Marcos,CA,92069,"732 Center Dr, San Marcos, CA 92069"
1266 E Valley Pkwy,Escondido,CA,92027,"1266 E Valley Pkwy, Escondido, CA 92027"
1330 E Grand Ave,Escondido,CA,92027,"1330 E Grand Ave, Escondido, CA 92027"
